
        0.46 real         0.38 user         0.07 sys
        0.64 real         0.56 user         0.07 sys
        1.08 real         0.99 user         0.07 sys
        2.02 real         1.92 user         0.09 sys
        2.08 real         1.97 user         0.09 sys
        4.39 real         4.25 user         0.12 sys
        5.41 real         5.26 user         0.13 sys
        6.36 real         6.21 user         0.14 sys
        9.18 real         8.99 user         0.17 sys
